BB,ER,ERA,G,H,HBP,HLD,HR,IP,L,R,SO,SV,W,WHIP,WPCT,team_filter,선수명,순위,팀명
1,0,0.0,2,0,0,0,0,1 2/3,0,0,2,0,0,0.6,-,LG,이종준,1,LG
8,2,1.46,12,7,1,4,0,12 1/3,0,2,9,1,1,1.22,1.000,LG,김강률,2,LG
14,4,1.89,23,13,1,0,0,19,1,6,20,0,0,1.42,0.000,LG,이우찬,3,LG
29,15,2.31,64,48,3,7,2,58 1/3,2,16,56,1,3,1.32,0.600,LG,김영우,4,LG
23,12,2.7,38,31,2,1,2,40,2,14,51,21,2,1.35,0.500,LG,유영찬,5,LG
16,14,2.86,8,39,2,0,2,44,2,15,45,0,6,1.25,0.750,LG,톨허스트,6,LG
40,54,3.03,27,163,6,0,9,160 1/3,7,61,107,0,11,1.27,0.611,LG,임찬규,7,LG
36,62,3.23,29,166,8,0,5,173,5,68,133,0,13,1.17,0.722,LG,치리노스,8,LG
46,57,3.39,29,150,4,0,8,151 1/3,6,66,129,0,11,1.3,0.647,LG,손주영,9,LG
49,54,3.5,27,142,1,0,14,139,5,59,121,0,11,1.37,0.688,LG,송승기,10,LG
24,27,3.52,76,60,0,33,7,69,4,28,61,1,6,1.22,0.600,LG,김진성,11,LG
19,21,3.83,55,64,5,5,4,49 1/3,3,24,38,10,3,1.68,0.500,LG,장현식,12,LG
28,13,3.99,32,27,1,2,2,29 1/3,0,13,27,0,1,1.88,1.000,LG,백승현,13,LG
24,31,4.23,14,53,5,0,7,66,4,32,73,0,4,1.17,0.500,LG,에르난데스,14,LG
6,5,4.66,11,12,2,0,0,9 2/3,0,5,5,0,0,1.86,-,LG,우강훈,15,LG
23,25,4.79,42,48,1,4,4,47,2,26,39,3,1,1.51,0.333,LG,이지강,16,LG
16,21,4.89,44,36,5,10,5,38 2/3,4,21,30,4,3,1.34,0.429,LG,박명근,17,LG
11,19,5.18,38,32,2,7,3,33,1,19,25,1,6,1.3,0.857,LG,이정용,18,LG
14,17,5.28,13,35,1,2,3,29,1,17,21,0,0,1.69,0.000,LG,최채흥,19,LG
0,1,5.4,2,2,0,0,2,1 2/3,0,3,2,0,0,1.2,-,LG,김종운,20,LG
7,8,5.54,14,9,1,1,1,13,0,8,14,0,0,1.23,-,LG,배재준,21,LG
18,18,6.15,30,13,0,1,1,26 1/3,3,19,26,0,2,1.18,0.400,LG,함덕주,22,LG
4,18,7.04,5,28,5,0,4,23,1,19,8,0,1,1.39,0.500,LG,코엔 윈,23,LG
1,5,9.0,4,11,0,0,2,5,0,5,6,0,0,2.4,-,LG,김진수,24,LG
